검진청구항목기준년도,건강검진청구항목코드,건강검진청구항목코드명,건강검진유형구분코드,건강검진유형상세코드
2024,D3202073,(대장암)CRorDR,(대장암)CRorDR,D
2024,D3202074,(대장암)FullPACS,(대장암)FullPACS,D
2024,D3202075,(대장암)대장내시경검사,(대장암)대장내시경검사,D
2024,D3202076,(대장암)전처치재료4L,(대장암)전처치재료4L,D
2024,D3202083,(대장암)전처치재료2L,(대장암)전처치재료2L,D
2024,D3202085,(대장암)전처치재료354㎖,(대장암)전처치재료354㎖,D
2024,D3202086,(대장암)전처치재료45.26g,(대장암)전처치재료45.26g,D
2024,D3202087,(대장암)전처치재료1L,(대장암)전처치재료1L,D
2024,D3301012,(유방암)유방촬영(직촬)-양측,(유방암)유방촬영(직촬)-양측,D
2024,D3301013,(유방암)유방촬영(직촬)-편측,(유방암)유방촬영(직촬)-편측,D
2024,D3301023,(유방암)상담료및행정비용,(유방암)상담료및행정비용,D
2024,D3301039,(유방암)유방촬영(CR/DR)-양측,(유방암)유방촬영(CR/DR)-양측,D
2024,D3301040,(유방암)유방촬영(FullPacs)-양측,(유방암)유방촬영(FullPacs)-양측,D
2024,D3301041,(유방암)유방촬영(CR/DR)-편측,(유방암)유방촬영(CR/DR)-편측,D
2024,D3301042,(유방암)유방촬영(FullPacs)-편측,(유방암)유방촬영(FullPacs)-편측,D
2024,D3301047,(유방암)상담료공휴일가산,(유방암)상담료공휴일가산,D
2024,D3301048,(유방암)장애인안전편의관리비,(유방암)장애인안전편의관리비,D
2024,D3302065,(유방암)촬영및판독료-양측,(유방암)촬영및판독료-양측,D
2024,D3302066,(유방암)필름료(유방전용필름:4매)-양측,(유방암)필름료(유방전용필름:4매)-양측,D
2024,D3302067,(유방암)CRorDR-양측,(유방암)CRorDR-양측,D
2024,D3302068,(유방암)FullPACS-양측,(유방암)FullPACS-양측,D
2024,D3302070,(유방암)촬영및판독료-편측,(유방암)촬영및판독료-편측,D
2024,D3302071,(유방암)필름료(유방전용필름:2매)-편측,(유방암)필름료(유방전용필름:2매)-편측,D
2024,D3302072,(유방암)CRorDR-편측,(유방암)CRorDR-편측,D
2024,D3302073,(유방암)FullPACS-편측,(유방암)FullPACS-편측,D
2024,D3401005,(간암)초음파검사,(간암)초음파검사,D
2024,D3401014,(간암)혈청알파태아단백(RPHA),(간암)혈청알파태아단백(RPHA),D
2024,D3401015,(간암)혈청알파태아단백(EIA),(간암)혈청알파태아단백(EIA),D
2024,D3401022,(간암)상담료및행정비용,(간암)상담료및행정비용,D
2024,D3401041,(간암)혈청알파태아단백(RIA),(간암)혈청알파태아단백(RIA),D
2024,D3401046,(간암)상담료공휴일가산,(간암)상담료공휴일가산,D
2024,D3401047,(간암)장애인안전편의관리비,(간암)장애인안전편의관리비,D
2024,D3501017,(자궁암)자궁경부세포검사,(자궁암)자궁경부세포검사,D
2024,D3501024,(자궁암)상담료및행정비용,(자궁암)상담료및행정비용,D
2024,D3501048,(자궁암)상담료공휴일가산,(자궁암)상담료공휴일가산,D
2024,D3501049,(자궁암)장애인안전편의관리비,(자궁암)장애인안전편의관리비,D
2024,D3502017,(자궁암)자궁경부세포검사(중복자궁),(자궁암)자궁경부세포검사(중복자궁),D
2024,D3601005,(간암하)초음파검사,(간암하)초음파검사,D
2024,D3601014,(간암하)혈청알파태아단백(RPHA),(간암하)혈청알파태아단백(RPHA),D
2024,D3601015,(간암하)혈청알파태아단백(EIA),(간암하)혈청알파태아단백(EIA),D
2024,D3601022,(간암하)상담료및행정비용,(간암하)상담료및행정비용,D
2024,D3601041,(간암하)혈청알파태아단백(RIA),(간암하)혈청알파태아단백(RIA),D
2024,D3601046,(간암하)상담료공휴일가산,(간암하)상담료공휴일가산,D
2024,D3601047,(간암하)장애인안전편의관리비,(간암하)장애인안전편의관리비,D
2024,D3701001,(폐암)상담료및행정비용,(폐암)상담료및행정비용,D
2024,D3701002,(폐암)저선량흉부CT검사,(폐암)저선량흉부CT검사,D
2024,D3701003,(폐암)사후결과상담,(폐암)사후결과상담,D
2024,D3701004,(폐암)상담료공휴일가산,(폐암)상담료공휴일가산,D
2023,D3102059,(위암)내시경하생검,(위암)내시경하생검,D
2023,E9001001,상담및행정비용,상담및행정비용,E
2023,E9001002,발달평가및상담,발달평가및상담,E
2023,E9001003,건강교육(안전),건강교육(안전),E
2023,E9001004,건강교육(영양),건강교육(영양),E
2023,E9001005,건강교육(수면),건강교육(수면),E
2023,E9001006,건강교육(구강),건강교육(구강),E
2023,E9001007,건강교육(취학전교육),건강교육(취학전교육),E
2023,E9001008,건강교육(대소변가리기),건강교육(대소변가리기),E
2023,E9001009,건강교육(정서및사회성),건강교육(정서및사회성),E
2023,E9001010,건강교육(개인위생),건강교육(개인위생),E
2023,E9001011,건강교육(기본료),건강교육(기본료),E
2023,E9001012,상담및행정비용공휴일가산(4차~8차),상담및행정비용공휴일가산(4차~8차),E
2023,E9001013,건강교육(간접흡연),건강교육(간접흡연),E
2023,E9001014,건강교육(영유아돌연사),건강교육(영유아돌연사),E
2023,E9001015,건강교육(전자미디어노출),건강교육(전자미디어노출),E
2023,E9001016,상담및행정비용가산(1차~3차),상담및행정비용가산(1차~3차),E
2023,E9001017,상담및행정비용가산(4차~8차),상담및행정비용가산(4차~8차),E
2023,E9001018,상담및행정비용공휴일가산(1차~3차),상담및행정비용공휴일가산(1차~3차),E
2023,D3201013,(대장암)대장내시경검사(전처치재료1L),(대장암)대장내시경검사(전처치재료1L),D
2023,D3201057,(대장암)세척료1L,(대장암)세척료1L,D
2023,D3202087,(대장암)전처치재료1L,(대장암)전처치재료1L,D
2023,X1101001,C형간염시범사업행정비용,C형간염시범사업행정비용,X
2023,X1101002,C형간염항체(일반),C형간염항체(일반),X
2023,X1101003,C형간염항체(정밀),C형간염항체(정밀),X
2023,X1101004,핵의학적방법(정밀),핵의학적방법(정밀),X
2023,X1101007,핵산증폭-정성그룹2,핵산증폭-정성그룹2,X
2023,X1101008,핵산증폭-정성그룹3,핵산증폭-정성그룹3,X
